datetime,state,location_name,latitude,longitude,ac_output,solar_radiation,capacity_factor
2024-01-03 20:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-03 21:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-03 22:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-03 23:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 00:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 01:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 02:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 03:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 04:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 05:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 06:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 07:00:00,TX,", Texas",29.7604,-95.3698,0.096,0,16.66272926330566
2024-01-04 08:00:00,TX,", Texas",29.7604,-95.3698,167.235,0,16.66272926330566
2024-01-04 09:00:00,TX,", Texas",29.7604,-95.3698,276.013,0,16.66272926330566
2024-01-04 10:00:00,TX,", Texas",29.7604,-95.3698,289.451,0,16.66272926330566
2024-01-04 11:00:00,TX,", Texas",29.7604,-95.3698,1348.812,0,16.66272926330566
2024-01-04 12:00:00,TX,", Texas",29.7604,-95.3698,1134.815,0,16.66272926330566
2024-01-04 13:00:00,TX,", Texas",29.7604,-95.3698,1697.879,0,16.66272926330566
2024-01-04 14:00:00,TX,", Texas",29.7604,-95.3698,1536.02,0,16.66272926330566
2024-01-04 15:00:00,TX,", Texas",29.7604,-95.3698,187.163,0,16.66272926330566
2024-01-04 16:00:00,TX,", Texas",29.7604,-95.3698,9.638,0,16.66272926330566
2024-01-04 17:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 18:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 19:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 20:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 21:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 22:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-04 23:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 00:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 01:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 02:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 03:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 04:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 05:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 06:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 07:00:00,TX,", Texas",29.7604,-95.3698,12.909,0,16.66272926330566
2024-01-05 08:00:00,TX,", Texas",29.7604,-95.3698,622.38,0,16.66272926330566
2024-01-05 09:00:00,TX,", Texas",29.7604,-95.3698,1627.771,0,16.66272926330566
2024-01-05 10:00:00,TX,", Texas",29.7604,-95.3698,2184.965,0,16.66272926330566
2024-01-05 11:00:00,TX,", Texas",29.7604,-95.3698,2506.411,0,16.66272926330566
2024-01-05 12:00:00,TX,", Texas",29.7604,-95.3698,1455.003,0,16.66272926330566
2024-01-05 13:00:00,TX,", Texas",29.7604,-95.3698,1632.065,0,16.66272926330566
2024-01-05 14:00:00,TX,", Texas",29.7604,-95.3698,778.898,0,16.66272926330566
2024-01-05 15:00:00,TX,", Texas",29.7604,-95.3698,317.301,0,16.66272926330566
2024-01-05 16:00:00,TX,", Texas",29.7604,-95.3698,797.63,0,16.66272926330566
2024-01-05 17:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 18:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 19:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 20:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 21:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 22:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-05 23:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-06 00:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-06 01:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-06 02:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-06 03:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-06 04:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-06 05:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-06 06:00:00,TX,", Texas",29.7604,-95.3698,0.0,0,16.66272926330566
2024-01-06 07:00:00,TX,", Texas",29.7604,-95.3698,94.529,0,16.66272926330566
2024-01-06 08:00:00,TX,", Texas",29.7604,-95.3698,904.741,0,16.66272926330566
2024-01-06 09:00:00,TX,", Texas",29.7604,-95.3698,1664.89,0,16.66272926330566
2024-01-06 10:00:00,TX,", Texas",29.7604,-95.3698,2212.751,0,16.66272926330566
2024-01-06 11:00:00,TX,", Texas",29.7604,-95.3698,2550.271,0,16.66272926330566
2024-01-06 12:00:00,TX,", Texas",29.7604,-95.3698,830.712,0,16.66272926330566
2024-01-06 13:00:00,TX,", Texas",29.7604,-95.3698,1872.27,0,16.66272926330566
2024-01-06 14:00:00,TX,", Texas",29.7604,-95.3698,2182.65,0,16.66272926330566
2024-01-06 15:00:00,TX,", Texas",29.7604,-95.3698,1560.755,0,16.66272926330566
2024-01-06 16:00:00,TX,", Texas",29.7604,-95.3698,802.389,0,16.66272926330566
