,period,stateId,stateDescription,producertypeid,producerTypeDescription,energysourceid,energySourceDescription,capability,capability-units
425,2023,MA,Massachusetts,EU,Electric Utilities,HYC,Hydroelectric,82.1,megawatts
426,2023,MA,Massachusetts,EU,Electric Utilities,NG,Natural Gas,355.5,megawatts
427,2023,MA,Massachusetts,EU,Electric Utilities,NGCC,Natural Gas - CC,181.1,megawatts
428,2023,MA,Massachusetts,EU,Electric Utilities,NGGT,Natural Gas - GT,151.2,megawatts
429,2023,MA,Massachusetts,EU,Electric Utilities,NGIC,Natural Gas - IC,23.2,megawatts
430,2023,MA,Massachusetts,EU,Electric Utilities,PET,Petroleum,496.5,megawatts
431,2023,MA,Massachusetts,EU,Electric Utilities,PETGT,Petroleum - GT,143.5,megawatts
432,2023,MA,Massachusetts,EU,Electric Utilities,PETIC,Petroleum - IC,47.9,megawatts
433,2023,MA,Massachusetts,EU,Electric Utilities,PETOTH,Petroleum - OTH,305.1,megawatts
434,2023,MA,Massachusetts,EU,Electric Utilities,SOL,Solar,65.9,megawatts
435,2023,MA,Massachusetts,EU,Electric Utilities,SOLPV,Solar - PV,65.9,megawatts
436,2023,MA,Massachusetts,EU,Electric Utilities,WND,Wind,26,megawatts
437,2023,MA,Massachusetts,IPP,Independent Power Producers,ALL,All,11804.6,megawatts
438,2023,MA,Massachusetts,IPP,Independent Power Producers,BAT,Battery,249.2,megawatts
439,2023,MA,Massachusetts,IPP,Independent Power Producers,HYC,Hydroelectric,185.1,megawatts
440,2023,MA,Massachusetts,IPP,Independent Power Producers,NG,Natural Gas,6133.9,megawatts
441,2023,MA,Massachusetts,IPP,Independent Power Producers,NGCC,Natural Gas - CC,5761.8,megawatts
442,2023,MA,Massachusetts,IPP,Independent Power Producers,NGGT,Natural Gas - GT,305,megawatts
443,2023,MA,Massachusetts,IPP,Independent Power Producers,NGIC,Natural Gas - IC,16.8,megawatts
444,2023,MA,Massachusetts,IPP,Independent Power Producers,NGOTH,Natural Gas - OTH,7.5,megawatts
445,2023,MA,Massachusetts,IPP,Independent Power Producers,NGST,Natural Gas - ST,42.8,megawatts
446,2023,MA,Massachusetts,IPP,Independent Power Producers,OBM,Other Biomass,258.2,megawatts
447,2023,MA,Massachusetts,IPP,Independent Power Producers,PET,Petroleum,1780.3,megawatts
448,2023,MA,Massachusetts,IPP,Independent Power Producers,PETGT,Petroleum - GT,596.3,megawatts
449,2023,MA,Massachusetts,IPP,Independent Power Producers,PETIC,Petroleum - IC,65.2,megawatts
450,2023,MA,Massachusetts,IPP,Independent Power Producers,PETST,Petroleum - ST,1118.8,megawatts
451,2023,MA,Massachusetts,IPP,Independent Power Producers,HPS,Pumped Storage,1834,megawatts
452,2023,MA,Massachusetts,IPP,Independent Power Producers,SOL,Solar,1273.2,megawatts
453,2023,MA,Massachusetts,IPP,Independent Power Producers,SOLPV,Solar - PV,1273.2,megawatts
454,2023,MA,Massachusetts,IPP,Independent Power Producers,WND,Wind,75.8,megawatts
455,2023,MA,Massachusetts,IPP,Independent Power Producers,WOO,Wood,14.9,megawatts
456,2023,MA,Massachusetts,TOT,All sectors,ALL,All,12849.5,megawatts
457,2023,MA,Massachusetts,TOT,All sectors,BAT,Battery,268.1,megawatts
458,2023,MA,Massachusetts,TOT,All sectors,HYC,Hydroelectric,267.2,megawatts
459,2023,MA,Massachusetts,TOT,All sectors,NG,Natural Gas,6489.4,megawatts
460,2023,MA,Massachusetts,TOT,All sectors,NGCC,Natural Gas - CC,5942.9,megawatts
461,2023,MA,Massachusetts,TOT,All sectors,NGGT,Natural Gas - GT,456.2,megawatts
462,2023,MA,Massachusetts,TOT,All sectors,NGIC,Natural Gas - IC,40,megawatts
463,2023,MA,Massachusetts,TOT,All sectors,NGOTH,Natural Gas - OTH,7.5,megawatts
464,2023,MA,Massachusetts,TOT,All sectors,NGST,Natural Gas - ST,42.8,megawatts
465,2023,MA,Massachusetts,TOT,All sectors,OBM,Other Biomass,258.2,megawatts
466,2023,MA,Massachusetts,TOT,All sectors,PET,Petroleum,2276.8,megawatts
467,2023,MA,Massachusetts,TOT,All sectors,PETGT,Petroleum - GT,739.8,megawatts
468,2023,MA,Massachusetts,TOT,All sectors,PETIC,Petroleum - IC,113.1,megawatts
469,2023,MA,Massachusetts,TOT,All sectors,PETOTH,Petroleum - OTH,305.1,megawatts
470,2023,MA,Massachusetts,TOT,All sectors,PETST,Petroleum - ST,1118.8,megawatts
471,2023,MA,Massachusetts,TOT,All sectors,HPS,Pumped Storage,1834,megawatts
472,2023,MD,Maryland,IPP,Independent Power Producers,WND,Wind,190,megawatts
473,2023,MD,Maryland,IPP,Independent Power Producers,WOO,Wood,2.6,megawatts
474,2023,MD,Maryland,TOT,All sectors,ALL,All,11924.1,megawatts
475,2023,MD,Maryland,TOT,All sectors,BAT,Battery,7.7,megawatts
476,2023,MD,Maryland,TOT,All sectors,COL,Coal,1453,megawatts
477,2023,MD,Maryland,TOT,All sectors,HYC,Hydroelectric,514.9,megawatts
478,2023,MD,Maryland,TOT,All sectors,NG,Natural Gas,5632.7,megawatts
479,2023,MD,Maryland,TOT,All sectors,NGCC,Natural Gas - CC,2745.8,megawatts
480,2023,MD,Maryland,TOT,All sectors,NGGT,Natural Gas - GT,1675.6,megawatts
481,2023,MD,Maryland,TOT,All sectors,NGIC,Natural Gas - IC,11.5,megawatts
482,2023,MD,Maryland,TOT,All sectors,NGST,Natural Gas - ST,1199.8,megawatts
483,2023,MD,Maryland,TOT,All sectors,NUC,Nuclear,1745.2,megawatts
484,2023,MD,Maryland,TOT,All sectors,OBM,Other Biomass,137.3,megawatts
485,2023,MD,Maryland,TOT,All sectors,PET,Petroleum,1656.3,megawatts
486,2023,MD,Maryland,TOT,All sectors,PETGT,Petroleum - GT,591.1,megawatts
487,2023,MD,Maryland,TOT,All sectors,PETIC,Petroleum - IC,84.2,megawatts
488,2023,MD,Maryland,TOT,All sectors,PETST,Petroleum - ST,981,megawatts
489,2023,MD,Maryland,TOT,All sectors,SOL,Solar,584.4,megawatts
490,2023,MD,Maryland,TOT,All sectors,SOLPV,Solar - PV,584.4,megawatts
491,2023,MD,Maryland,TOT,All sectors,WND,Wind,190,megawatts
492,2023,MD,Maryland,TOT,All sectors,WOO,Wood,2.6,megawatts
493,2023,ME,Maine,EU,Electric Utilities,ALL,All,1.2,megawatts
494,2023,ME,Maine,EU,Electric Utilities,HYC,Hydroelectric,1.2,megawatts
495,2023,ME,Maine,IPP,Independent Power Producers,ALL,All,5250.4,megawatts
496,2023,ME,Maine,IPP,Independent Power Producers,BAT,Battery,62.3,megawatts
497,2023,ME,Maine,IPP,Independent Power Producers,HYC,Hydroelectric,724.6,megawatts
498,2023,ME,Maine,IPP,Independent Power Producers,NG,Natural Gas,1597.7,megawatts
499,2023,ME,Maine,IPP,Independent Power Producers,NGCC,Natural Gas - CC,1285.7,megawatts
500,2023,ME,Maine,IPP,Independent Power Producers,NGGT,Natural Gas - GT,312,megawatts
501,2023,ME,Maine,IPP,Independent Power Producers,OT,Other,22,megawatts
502,2023,ME,Maine,IPP,Independent Power Producers,OBM,Other Biomass,38.6,megawatts
503,2023,ME,Maine,IPP,Independent Power Producers,PET,Petroleum,844.7,megawatts
504,2023,ME,Maine,IPP,Independent Power Producers,PETGT,Petroleum - GT,32,megawatts
505,2023,ME,Maine,IPP,Independent Power Producers,PETIC,Petroleum - IC,1.8,megawatts
506,2023,ME,Maine,IPP,Independent Power Producers,PETST,Petroleum - ST,810.9,megawatts
507,2023,ME,Maine,IPP,Independent Power Producers,SOL,Solar,481,megawatts
508,2023,ME,Maine,IPP,Independent Power Producers,SOLPV,Solar - PV,481,megawatts
509,2023,ME,Maine,IPP,Independent Power Producers,WND,Wind,1029.5,megawatts
510,2023,ME,Maine,IPP,Independent Power Producers,WOO,Wood,450,megawatts
511,2023,ME,Maine,TOT,All sectors,ALL,All,5251.6,megawatts
512,2023,ME,Maine,TOT,All sectors,BAT,Battery,62.3,megawatts
513,2023,ME,Maine,TOT,All sectors,HYC,Hydroelectric,725.8,megawatts
514,2023,ME,Maine,TOT,All sectors,NG,Natural Gas,1597.7,megawatts
515,2023,ME,Maine,TOT,All sectors,NGCC,Natural Gas - CC,1285.7,megawatts
516,2023,ME,Maine,TOT,All sectors,NGGT,Natural Gas - GT,312,megawatts
517,2023,ME,Maine,TOT,All sectors,OT,Other,22,megawatts
518,2023,ME,Maine,TOT,All sectors,OBM,Other Biomass,38.6,megawatts
519,2023,ME,Maine,TOT,All sectors,PET,Petroleum,844.7,megawatts
520,2023,ME,Maine,TOT,All sectors,PETGT,Petroleum - GT,32,megawatts
521,2023,ME,Maine,TOT,All sectors,PETIC,Petroleum - IC,1.8,megawatts
522,2023,ME,Maine,TOT,All sectors,PETST,Petroleum - ST,810.9,megawatts
523,2023,ME,Maine,TOT,All sectors,SOL,Solar,481,megawatts
524,2023,ME,Maine,TOT,All sectors,SOLPV,Solar - PV,481,megawatts
525,2023,ME,Maine,TOT,All sectors,WND,Wind,1029.5,megawatts
526,2023,ME,Maine,TOT,All sectors,WOO,Wood,450,megawatts
527,2023,MI,Michigan,EU,Electric Utilities,ALL,All,23788.3,megawatts
528,2023,MI,Michigan,EU,Electric Utilities,BAT,Battery,1.3,megawatts
529,2023,MI,Michigan,EU,Electric Utilities,COL,Coal,5736.1,megawatts
530,2023,MI,Michigan,EU,Electric Utilities,HYC,Hydroelectric,245.9,megawatts
531,2023,MI,Michigan,EU,Electric Utilities,NG,Natural Gas,9704.1,megawatts
532,2023,MI,Michigan,EU,Electric Utilities,NGCC,Natural Gas - CC,4200.4,megawatts
533,2023,MI,Michigan,EU,Electric Utilities,NGGT,Natural Gas - GT,3154,megawatts
534,2023,MI,Michigan,EU,Electric Utilities,NGIC,Natural Gas - IC,322.4,megawatts
535,2023,MI,Michigan,EU,Electric Utilities,NGST,Natural Gas - ST,2027.3,megawatts
536,2023,MI,Michigan,EU,Electric Utilities,NUC,Nuclear,3318,megawatts
537,2023,MI,Michigan,EU,Electric Utilities,PET,Petroleum,413.4,megawatts
538,2023,MI,Michigan,EU,Electric Utilities,PETGT,Petroleum - GT,198.3,megawatts
539,2023,MI,Michigan,EU,Electric Utilities,PETIC,Petroleum - IC,215.1,megawatts
540,2023,MI,Michigan,EU,Electric Utilities,HPS,Pumped Storage,2185.6,megawatts
541,2023,MI,Michigan,EU,Electric Utilities,SOL,Solar,61.8,megawatts
542,2023,MI,Michigan,EU,Electric Utilities,SOLPV,Solar - PV,61.8,megawatts
543,2023,MI,Michigan,EU,Electric Utilities,WND,Wind,2122.1,megawatts
544,2023,MI,Michigan,IPP,Independent Power Producers,ALL,All,7331.6,megawatts
545,2023,MI,Michigan,IPP,Independent Power Producers,COL,Coal,65.8,megawatts
546,2023,MI,Michigan,IPP,Independent Power Producers,HYC,Hydroelectric,17.9,megawatts
547,2023,MI,Michigan,IPP,Independent Power Producers,NG,Natural Gas,4071,megawatts
548,2023,MI,Michigan,IPP,Independent Power Producers,NGCC,Natural Gas - CC,3491.2,megawatts
549,2023,MI,Michigan,IPP,Independent Power Producers,NGGT,Natural Gas - GT,416,megawatts
550,2023,MI,Michigan,IPP,Independent Power Producers,NGIC,Natural Gas - IC,37.2,megawatts
551,2023,MI,Michigan,IPP,Independent Power Producers,NGST,Natural Gas - ST,126.6,megawatts
552,2023,MI,Michigan,IPP,Independent Power Producers,OT,Other,3.8,megawatts
553,2023,MI,Michigan,IPP,Independent Power Producers,OBM,Other Biomass,167.8,megawatts
554,2023,MI,Michigan,IPP,Independent Power Producers,OOG,Other Gas,250,megawatts
555,2023,MI,Michigan,IPP,Independent Power Producers,PET,Petroleum,66.3,megawatts
556,2023,MI,Michigan,IPP,Independent Power Producers,PETIC,Petroleum - IC,19.1,megawatts
557,2023,MI,Michigan,IPP,Independent Power Producers,PETST,Petroleum - ST,47.2,megawatts
558,2023,MI,Michigan,IPP,Independent Power Producers,SOL,Solar,913.2,megawatts
559,2023,MI,Michigan,IPP,Independent Power Producers,SOLPV,Solar - PV,913.2,megawatts
560,2023,MI,Michigan,IPP,Independent Power Producers,WND,Wind,1453.2,megawatts
561,2023,MI,Michigan,IPP,Independent Power Producers,WOO,Wood,322.6,megawatts
562,2023,MI,Michigan,TOT,All sectors,ALL,All,31119.9,megawatts
563,2023,MI,Michigan,TOT,All sectors,BAT,Battery,1.3,megawatts
564,2023,MI,Michigan,TOT,All sectors,COL,Coal,5801.9,megawatts
565,2023,MI,Michigan,TOT,All sectors,HYC,Hydroelectric,263.8,megawatts
566,2023,MI,Michigan,TOT,All sectors,NG,Natural Gas,13775.1,megawatts
567,2023,MI,Michigan,TOT,All sectors,NGCC,Natural Gas - CC,7691.6,megawatts
568,2023,MI,Michigan,TOT,All sectors,NGGT,Natural Gas - GT,3570,megawatts
569,2023,MI,Michigan,TOT,All sectors,NGIC,Natural Gas - IC,359.6,megawatts
570,2023,MI,Michigan,TOT,All sectors,NGST,Natural Gas - ST,2153.9,megawatts
571,2023,MI,Michigan,TOT,All sectors,NUC,Nuclear,3318,megawatts
572,2023,MI,Michigan,TOT,All sectors,OT,Other,3.8,megawatts
573,2023,MI,Michigan,TOT,All sectors,OBM,Other Biomass,167.8,megawatts
574,2023,MI,Michigan,TOT,All sectors,OOG,Other Gas,250,megawatts
575,2023,MI,Michigan,TOT,All sectors,PET,Petroleum,479.7,megawatts
576,2023,MI,Michigan,TOT,All sectors,PETGT,Petroleum - GT,198.3,megawatts
577,2023,MI,Michigan,TOT,All sectors,PETIC,Petroleum - IC,234.2,megawatts
578,2023,MI,Michigan,TOT,All sectors,PETST,Petroleum - ST,47.2,megawatts
579,2023,MI,Michigan,TOT,All sectors,HPS,Pumped Storage,2185.6,megawatts
580,2023,MI,Michigan,TOT,All sectors,SOL,Solar,975,megawatts
581,2023,MI,Michigan,TOT,All sectors,SOLPV,Solar - PV,975,megawatts
582,2023,MI,Michigan,TOT,All sectors,WND,Wind,3575.3,megawatts
583,2023,MI,Michigan,TOT,All sectors,WOO,Wood,322.6,megawatts
584,2023,MN,Minnesota,EU,Electric Utilities,ALL,All,11609.8,megawatts
585,2023,MN,Minnesota,EU,Electric Utilities,COL,Coal,3004,megawatts
586,2023,MN,Minnesota,EU,Electric Utilities,HYC,Hydroelectric,138.3,megawatts
587,2023,MN,Minnesota,EU,Electric Utilities,NG,Natural Gas,4190.6,megawatts
588,2023,MN,Minnesota,EU,Electric Utilities,NGCC,Natural Gas - CC,1578,megawatts
589,2023,MN,Minnesota,EU,Electric Utilities,NGGT,Natural Gas - GT,2206.5,megawatts
590,2023,MN,Minnesota,EU,Electric Utilities,NGIC,Natural Gas - IC,230.8,megawatts
591,2023,MN,Minnesota,EU,Electric Utilities,NGST,Natural Gas - ST,175.3,megawatts
592,2023,MN,Minnesota,EU,Electric Utilities,NUC,Nuclear,1657,megawatts
593,2023,MN,Minnesota,EU,Electric Utilities,OBM,Other Biomass,37.5,megawatts
594,2023,MN,Minnesota,EU,Electric Utilities,PET,Petroleum,704.9,megawatts
595,2023,MN,Minnesota,EU,Electric Utilities,PETGT,Petroleum - GT,342.7,megawatts
596,2023,MN,Minnesota,EU,Electric Utilities,PETIC,Petroleum - IC,362.2,megawatts
597,2023,MN,Minnesota,EU,Electric Utilities,SOL,Solar,85.4,megawatts
598,2023,MN,Minnesota,EU,Electric Utilities,SOLPV,Solar - PV,85.4,megawatts
599,2023,MN,Minnesota,EU,Electric Utilities,WND,Wind,1792.1,megawatts
600,2023,MN,Minnesota,IPP,Independent Power Producers,ALL,All,6231.8,megawatts
601,2023,MN,Minnesota,IPP,Independent Power Producers,BAT,Battery,16,megawatts
602,2023,MN,Minnesota,IPP,Independent Power Producers,COL,Coal,137.7,megawatts
603,2023,MN,Minnesota,IPP,Independent Power Producers,HYC,Hydroelectric,73.7,megawatts
604,2023,MN,Minnesota,IPP,Independent Power Producers,NG,Natural Gas,1309.2,megawatts
605,2023,MN,Minnesota,IPP,Independent Power Producers,NGCC,Natural Gas - CC,954.9,megawatts
606,2023,MN,Minnesota,IPP,Independent Power Producers,NGGT,Natural Gas - GT,338.5,megawatts
607,2023,MN,Minnesota,IPP,Independent Power Producers,NGST,Natural Gas - ST,15.8,megawatts
608,2023,MN,Minnesota,IPP,Independent Power Producers,OT,Other,6.1,megawatts
609,2023,MN,Minnesota,IPP,Independent Power Producers,OBM,Other Biomass,73.1,megawatts
610,2023,MN,Minnesota,IPP,Independent Power Producers,PET,Petroleum,67.4,megawatts
611,2023,MN,Minnesota,IPP,Independent Power Producers,PETIC,Petroleum - IC,67.4,megawatts
612,2023,MN,Minnesota,IPP,Independent Power Producers,SOL,Solar,1206,megawatts
613,2023,MN,Minnesota,IPP,Independent Power Producers,SOLPV,Solar - PV,1206,megawatts
614,2023,MN,Minnesota,IPP,Independent Power Producers,WND,Wind,3136.6,megawatts
615,2023,MN,Minnesota,IPP,Independent Power Producers,WOO,Wood,206,megawatts
616,2023,MN,Minnesota,TOT,All sectors,ALL,All,17841.6,megawatts
617,2023,MN,Minnesota,TOT,All sectors,BAT,Battery,16,megawatts
618,2023,MN,Minnesota,TOT,All sectors,COL,Coal,3141.7,megawatts
619,2023,MN,Minnesota,TOT,All sectors,HYC,Hydroelectric,212,megawatts
620,2023,MN,Minnesota,TOT,All sectors,NG,Natural Gas,5499.8,megawatts
621,2023,MN,Minnesota,TOT,All sectors,NGCC,Natural Gas - CC,2532.9,megawatts
622,2023,MN,Minnesota,TOT,All sectors,NGGT,Natural Gas - GT,2545,megawatts
623,2023,MN,Minnesota,TOT,All sectors,NGIC,Natural Gas - IC,230.8,megawatts
624,2023,MN,Minnesota,TOT,All sectors,NGST,Natural Gas - ST,191.1,megawatts
625,2023,MN,Minnesota,TOT,All sectors,NUC,Nuclear,1657,megawatts
626,2023,MN,Minnesota,TOT,All sectors,OT,Other,6.1,megawatts
627,2023,MN,Minnesota,TOT,All sectors,OBM,Other Biomass,110.6,megawatts
628,2023,MN,Minnesota,TOT,All sectors,PET,Petroleum,772.3,megawatts
629,2023,MN,Minnesota,TOT,All sectors,PETGT,Petroleum - GT,342.7,megawatts
630,2023,MN,Minnesota,TOT,All sectors,PETIC,Petroleum - IC,429.6,megawatts
631,2023,MN,Minnesota,TOT,All sectors,SOL,Solar,1291.4,megawatts
632,2023,MN,Minnesota,TOT,All sectors,SOLPV,Solar - PV,1291.4,megawatts
633,2023,MN,Minnesota,TOT,All sectors,WND,Wind,4928.7,megawatts
634,2023,MN,Minnesota,TOT,All sectors,WOO,Wood,206,megawatts
635,2023,MO,Missouri,EU,Electric Utilities,ALL,All,18822.3,megawatts
636,2023,MO,Missouri,EU,Electric Utilities,BAT,Battery,1,megawatts
637,2023,MO,Missouri,EU,Electric Utilities,COL,Coal,9714.2,megawatts
638,2023,MO,Missouri,EU,Electric Utilities,HYC,Hydroelectric,548.5,megawatts
639,2023,MO,Missouri,EU,Electric Utilities,NG,Natural Gas,4662.2,megawatts
640,2023,MO,Missouri,EU,Electric Utilities,NGCC,Natural Gas - CC,1206.8,megawatts
641,2023,MO,Missouri,EU,Electric Utilities,NGGT,Natural Gas - GT,3142.7,megawatts
642,2023,MO,Missouri,EU,Electric Utilities,NGIC,Natural Gas - IC,134.5,megawatts
643,2023,MO,Missouri,EU,Electric Utilities,NGST,Natural Gas - ST,178.2,megawatts
644,2023,MO,Missouri,EU,Electric Utilities,NUC,Nuclear,1190,megawatts
645,2023,MO,Missouri,EU,Electric Utilities,OBM,Other Biomass,7.5,megawatts
646,2023,MO,Missouri,EU,Electric Utilities,PET,Petroleum,1063.6,megawatts
647,2023,MO,Missouri,EU,Electric Utilities,PETGT,Petroleum - GT,860.5,megawatts
648,2023,MO,Missouri,EU,Electric Utilities,PETIC,Petroleum - IC,203.1,megawatts
649,2023,MO,Missouri,EU,Electric Utilities,HPS,Pumped Storage,657,megawatts
650,2023,MO,Missouri,EU,Electric Utilities,SOL,Solar,36.2,megawatts
651,2023,MO,Missouri,EU,Electric Utilities,SOLPV,Solar - PV,36.2,megawatts
652,2023,MO,Missouri,EU,Electric Utilities,WND,Wind,942.1,megawatts
653,2023,MO,Missouri,IPP,Independent Power Producers,ALL,All,2350,megawatts
654,2023,MO,Missouri,IPP,Independent Power Producers,NG,Natural Gas,823.9,megawatts
655,2023,MO,Missouri,IPP,Independent Power Producers,NGCC,Natural Gas - CC,685.7,megawatts
656,2023,MO,Missouri,IPP,Independent Power Producers,NGGT,Natural Gas - GT,58.1,megawatts
657,2023,MO,Missouri,IPP,Independent Power Producers,NGIC,Natural Gas - IC,1.2,megawatts
658,2023,MO,Missouri,IPP,Independent Power Producers,NGST,Natural Gas - ST,78.9,megawatts
659,2023,MO,Missouri,IPP,Independent Power Producers,OBM,Other Biomass,6.5,megawatts
660,2023,MO,Missouri,IPP,Independent Power Producers,PET,Petroleum,22.2,megawatts
661,2023,MO,Missouri,IPP,Independent Power Producers,PETIC,Petroleum - IC,22.2,megawatts
662,2023,MO,Missouri,IPP,Independent Power Producers,SOL,Solar,64.6,megawatts
663,2023,MO,Missouri,IPP,Independent Power Producers,SOLPV,Solar - PV,64.6,megawatts
664,2023,MO,Missouri,IPP,Independent Power Producers,WND,Wind,1432.8,megawatts
665,2023,MO,Missouri,TOT,All sectors,ALL,All,21172.3,megawatts
666,2023,MO,Missouri,TOT,All sectors,BAT,Battery,1,megawatts
667,2023,MO,Missouri,TOT,All sectors,COL,Coal,9714.2,megawatts
668,2023,MO,Missouri,TOT,All sectors,HYC,Hydroelectric,548.5,megawatts
669,2023,MO,Missouri,TOT,All sectors,NG,Natural Gas,5486.1,megawatts
670,2023,MO,Missouri,TOT,All sectors,NGCC,Natural Gas - CC,1892.5,megawatts
671,2023,MO,Missouri,TOT,All sectors,NGGT,Natural Gas - GT,3200.8,megawatts
672,2023,MO,Missouri,TOT,All sectors,NGIC,Natural Gas - IC,135.7,megawatts
673,2023,MO,Missouri,TOT,All sectors,NGST,Natural Gas - ST,257.1,megawatts
674,2023,MO,Missouri,TOT,All sectors,NUC,Nuclear,1190,megawatts
675,2023,MO,Missouri,TOT,All sectors,OBM,Other Biomass,14,megawatts
676,2023,MO,Missouri,TOT,All sectors,PET,Petroleum,1085.8,megawatts
677,2023,MO,Missouri,TOT,All sectors,PETGT,Petroleum - GT,860.5,megawatts
678,2023,MO,Missouri,TOT,All sectors,PETIC,Petroleum - IC,225.3,megawatts
679,2023,MO,Missouri,TOT,All sectors,HPS,Pumped Storage,657,megawatts
680,2023,MO,Missouri,TOT,All sectors,SOL,Solar,100.8,megawatts
681,2023,MO,Missouri,TOT,All sectors,SOLPV,Solar - PV,100.8,megawatts
682,2023,MO,Missouri,TOT,All sectors,WND,Wind,2374.9,megawatts
683,2023,MS,Mississippi,EU,Electric Utilities,ALL,All,13730.4,megawatts
684,2023,MS,Mississippi,EU,Electric Utilities,BAT,Battery,1.5,megawatts
685,2023,MS,Mississippi,EU,Electric Utilities,COL,Coal,1004,megawatts
686,2023,MS,Mississippi,EU,Electric Utilities,NG,Natural Gas,11231.4,megawatts
687,2023,MS,Mississippi,EU,Electric Utilities,NGCC,Natural Gas - CC,8384.5,megawatts
688,2023,MS,Mississippi,EU,Electric Utilities,NGGT,Natural Gas - GT,1334.6,megawatts
689,2023,MS,Mississippi,EU,Electric Utilities,NGIC,Natural Gas - IC,25.8,megawatts
690,2023,MS,Mississippi,EU,Electric Utilities,NGST,Natural Gas - ST,1486.5,megawatts
691,2023,MS,Mississippi,EU,Electric Utilities,NUC,Nuclear,1383,megawatts
692,2023,MS,Mississippi,EU,Electric Utilities,PET,Petroleum,9,megawatts
693,2023,MS,Mississippi,EU,Electric Utilities,PETIC,Petroleum - IC,9,megawatts
694,2023,MS,Mississippi,EU,Electric Utilities,SOL,Solar,101.5,megawatts
695,2023,MS,Mississippi,EU,Electric Utilities,SOLPV,Solar - PV,101.5,megawatts
696,2023,MS,Mississippi,IPP,Independent Power Producers,ALL,All,1102.6,megawatts
697,2023,MS,Mississippi,IPP,Independent Power Producers,COL,Coal,440,megawatts
698,2023,MS,Mississippi,IPP,Independent Power Producers,NG,Natural Gas,34.7,megawatts
699,2023,MS,Mississippi,IPP,Independent Power Producers,NGGT,Natural Gas - GT,34.7,megawatts
700,2023,MS,Mississippi,IPP,Independent Power Producers,OT,Other,1.4,megawatts
701,2023,MS,Mississippi,IPP,Independent Power Producers,OBM,Other Biomass,1.6,megawatts
702,2023,MS,Mississippi,IPP,Independent Power Producers,SOL,Solar,324.1,megawatts
703,2023,MS,Mississippi,IPP,Independent Power Producers,SOLPV,Solar - PV,324.1,megawatts
704,2023,MS,Mississippi,IPP,Independent Power Producers,WOO,Wood,300.8,megawatts
705,2023,MS,Mississippi,TOT,All sectors,ALL,All,14833,megawatts
706,2023,MS,Mississippi,TOT,All sectors,BAT,Battery,1.5,megawatts
707,2023,MS,Mississippi,TOT,All sectors,COL,Coal,1444,megawatts
708,2023,MS,Mississippi,TOT,All sectors,NG,Natural Gas,11266.1,megawatts
709,2023,MS,Mississippi,TOT,All sectors,NGCC,Natural Gas - CC,8384.5,megawatts
710,2023,MS,Mississippi,TOT,All sectors,NGGT,Natural Gas - GT,1369.3,megawatts
711,2023,MS,Mississippi,TOT,All sectors,NGIC,Natural Gas - IC,25.8,megawatts
712,2023,MS,Mississippi,TOT,All sectors,NGST,Natural Gas - ST,1486.5,megawatts
713,2023,MS,Mississippi,TOT,All sectors,NUC,Nuclear,1383,megawatts
714,2023,MS,Mississippi,TOT,All sectors,OT,Other,1.4,megawatts
715,2023,MS,Mississippi,TOT,All sectors,OBM,Other Biomass,1.6,megawatts
716,2023,MS,Mississippi,TOT,All sectors,PET,Petroleum,9,megawatts
717,2023,MS,Mississippi,TOT,All sectors,PETIC,Petroleum - IC,9,megawatts
718,2023,MS,Mississippi,TOT,All sectors,SOL,Solar,425.6,megawatts
719,2023,MS,Mississippi,TOT,All sectors,SOLPV,Solar - PV,425.6,megawatts
720,2023,MS,Mississippi,TOT,All sectors,WOO,Wood,300.8,megawatts
721,2023,MT,Montana,EU,Electric Utilities,ALL,All,3447.5,megawatts
722,2023,MT,Montana,EU,Electric Utilities,HYC,Hydroelectric,2790.8,megawatts
723,2023,MT,Montana,EU,Electric Utilities,NG,Natural Gas,334,megawatts
724,2023,MT,Montana,EU,Electric Utilities,NGGT,Natural Gas - GT,315.8,megawatts
725,2023,MT,Montana,EU,Electric Utilities,NGIC,Natural Gas - IC,18.2,megawatts
726,2023,MT,Montana,EU,Electric Utilities,OBM,Other Biomass,3.2,megawatts
727,2023,MT,Montana,EU,Electric Utilities,WND,Wind,319.5,megawatts
728,2023,MT,Montana,IPP,Independent Power Producers,ALL,All,3250.4,megawatts
729,2023,MT,Montana,IPP,Independent Power Producers,COL,Coal,1626.5,megawatts
730,2023,MT,Montana,IPP,Independent Power Producers,HYC,Hydroelectric,34.2,megawatts
731,2023,MT,Montana,IPP,Independent Power Producers,NG,Natural Gas,54,megawatts
732,2023,MT,Montana,IPP,Independent Power Producers,NGIC,Natural Gas - IC,54,megawatts
733,2023,MT,Montana,IPP,Independent Power Producers,OT,Other,40,megawatts
734,2023,MT,Montana,IPP,Independent Power Producers,OOG,Other Gas,1.5,megawatts
735,2023,MT,Montana,IPP,Independent Power Producers,PET,Petroleum,52,megawatts
736,2023,MT,Montana,IPP,Independent Power Producers,PETST,Petroleum - ST,52,megawatts
737,2023,MT,Montana,IPP,Independent Power Producers,SOL,Solar,177,megawatts
738,2023,MT,Montana,IPP,Independent Power Producers,SOLPV,Solar - PV,177,megawatts
739,2023,MT,Montana,IPP,Independent Power Producers,WND,Wind,1262.2,megawatts
740,2023,MT,Montana,IPP,Independent Power Producers,WOO,Wood,3,megawatts
